Input,Output 1,Output 2
32.125000,dfb4eab4,5f34eab4
32.187500,dfb4ddc7,5f34ddc7
32.250000,dfb4d0fc,5f34d0fc
32.312500,dfb4c452,5f34c452
32.375000,dfb4b7c9,5f34b7c9
32.437500,dfb4ab61,5f34ab61
32.500000,dfb49f19,5f349f19
32.562500,dfb492f3,5f3492f3
32.625000,dfb486ed,5f3486ed
32.687500,dfb47b07,5f347b07
32.750000,dfb46f41,5f346f41
32.812500,dfb4639c,5f34639c
32.875000,dfb45816,5f345816
32.937500,dfb44cb0,5f344cb0
33.000000,dfb4416a,5f34416a
33.062500,dfb43643,5f343643
33.125000,dfb42b3b,5f342b3b
33.187500,dfb42053,5f342053
33.250000,dfb41589,5f341589
33.312500,dfb40ade,5f340ade
33.375000,dfb40052,5f340052
33.437500,dfb3f5e5,5f33f5e5
33.500000,dfb3eb96,5f33eb96
33.562500,dfb3e165,5f33e165
33.625000,dfb3d752,5f33d752
33.687500,dfb3cd5e,5f33cd5e
33.750000,dfb3c387,5f33c387
33.812500,dfb3b9ce,5f33b9ce
33.875000,dfb3b032,5f33b032
33.937500,dfb3a6b4,5f33a6b4
34.000000,dfb39d53,5f339d53
34.062500,dfb39410,5f339410
34.125000,dfb38ae9,5f338ae9
34.187500,dfb381df,5f3381df
34.250000,dfb378f2,5f3378f2
34.312500,dfb37022,5f337022
34.375000,dfb3676e,5f33676e
34.437500,dfb35ed7,5f335ed7
34.500000,dfb3565c,5f33565c
34.562500,dfb34dfd,5f334dfd
34.625000,dfb345ba,5f3345ba
34.687500,dfb33d93,5f333d93
34.750000,dfb33587,5f333587
34.812500,dfb32d97,5f332d97
34.875000,dfb325c3,5f3325c3
34.937500,dfb31e0a,5f331e0a
35.000000,dfb3166c,5f33166c
35.062500,dfb30eea,5f330eea
35.125000,dfb30782,5f330782
35.187500,dfb30036,5f330036
35.250000,dfb2f904,5f32f904
35.312500,dfb2f1ed,5f32f1ed
35.375000,dfb2eaf0,5f32eaf0
35.437500,dfb2e40e,5f32e40e
