Input,Constant,Output
50.312500,5f3588dd,0.140978
50.375000,5f35933b,0.140891
50.437500,5f359da2,0.140804
50.500000,5f35a812,0.140716
50.562500,5f35b28c,0.140629
50.625000,5f35bd0f,0.140542
50.687500,5f35c79b,0.140456
50.750000,5f35d230,0.140369
50.812500,5f35dcce,0.140283
50.875000,5f35e776,0.140196
50.937500,5f35f226,0.140110
51.000000,5f35fcde,0.140024
51.062500,5f3607a0,0.139939
51.125000,5f36126a,0.139853
51.187500,5f361d3c,0.139767
51.250000,5f362817,0.139682
51.312500,5f3632fb,0.139597
51.375000,5f363de6,0.139512
51.437500,5f3648da,0.139427
51.500000,5f3653d6,0.139342
51.562500,5f365eda,0.139258
51.625000,5f3669e6,0.139174
51.687500,5f3674fa,0.139089
51.750000,5f368015,0.139005
51.812500,5f368b39,0.138921
51.875000,5f369664,0.138837
51.937500,5f36a196,0.138754
52.000000,5f36acd0,0.138670
52.062500,5f36b812,0.138587
52.125000,5f36c35b,0.138504
52.187500,5f36ceab,0.138421
52.250000,5f36da02,0.138338
